Biologist 1
B6, 0.37667560321715815, 0.7679603633360859
C5, 0.2138047138047138, 0.8986432561851556
B7, 0.2672508214676889, 0.8683926645091694
A12, 0.2618296529968454, 0.8493647912885662
A4, 0.28512396694214875, 0.8353221957040573
A3, 0.17590822179732313, 0.9103313840155945
C6, 0.27695800227014755, 0.8495684340320592
D12, 0.2320627802690583, 0.8778761061946903
D5, 0.11776859504132231, 0.9411764705882353
G1, 0.19907407407407407, 0.9009976976208749

Biologist 2
B8, 0.27505330490405117, 0.8413284132841329
D4, 0.342668863261944, 0.7936507936507936
B7, 0.29063604240282687, 0.8412928123492522
D6, 0.33225108225108224, 0.8126906650396584
G2, 0.37013669821240797, 0.7772151898734178
D3, 0.35152284263959394, 0.8085694540428473
E4, 0.32744924977934686, 0.804221635883905
D5, 0.3869281045751634, 0.7632
G1, 0.3474065138721351, 0.8059299191374663
F3, 0.37023809523809526, 0.7792760823278921
