scorer,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180,DLC_HrnetW32_fish4drugDec15shuffle1_snapshot_180
bodyparts,head,head,head,eye1,eye1,eye1,eye2,eye2,eye2,body1,body1,body1,body2,body2,body2,body3,body3,body3,body4,body4,body4,body5,body5,body5
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,69.72196,142.20087,0.42177522,75.19297,141.24332,0.7429792,69.821915,139.54109,0.7541034,106.51263,146.1607,0.7826106,136.84662,150.65924,0.8548178,167.98035,155.50693,0.8357424,195.053,166.26927,0.7415125,230.50337,176.97917,0.7786749
1,71.09345,141.89659,0.47186503,77.2718,141.41397,0.77083737,70.94364,139.85027,0.77578676,108.19029,147.1318,0.7792738,139.27788,150.54573,0.8397282,171.2922,155.84863,0.8016268,198.59058,165.03842,0.70348924,234.45502,176.34227,0.81720555
2,71.94299,142.49937,0.51006424,78.17744,141.9076,0.80150515,71.355286,140.40622,0.81028044,108.9909,147.35016,0.76055217,140.0458,150.26135,0.82861036,172.91618,155.81381,0.7928397,200.65547,164.60132,0.6852393,237.41156,175.37343,0.8018049
3,72.90405,142.72368,0.5427031,79.19345,142.20282,0.83086556,71.91964,140.81343,0.8398266,109.433556,147.33774,0.7380022,141.0119,149.98183,0.84783787,173.5336,155.53506,0.7754734,202.83281,164.30312,0.6803872,238.07019,173.43521,0.774643
4,63.400692,153.5755,0.55829245,69.88944,153.33797,0.89850205,62.811565,150.75803,0.9114871,93.994385,156.5775,0.8490317,123.55408,158.14609,0.78427535,156.03241,161.45364,0.75913465,180.75287,166.06409,0.7545169,212.05736,171.38123,0.78917897
5,64.75821,154.01694,0.5666721,71.14841,153.93826,0.9250609,63.336304,151.38733,0.93141377,96.4846,158.86674,0.86441916,124.36752,161.75157,0.79152644,148.76894,165.68402,0.9049013,174.4681,170.47961,0.84941024,200.04193,176.0102,0.8282195
6,69.63808,157.70274,0.60219544,76.75465,157.651,0.9486848,68.11143,155.07231,0.934409,102.23653,161.52321,0.89522004,129.16338,163.02237,0.8926804,159.66226,169.08482,0.843729,185.50925,174.49182,0.8227294,212.33905,181.05724,0.8792093
7,73.12609,159.25058,0.5674787,79.583145,159.5101,0.922499,72.79084,156.68706,0.91499937,104.62809,163.01555,0.8798861,134.05057,165.09268,0.814563,162.61263,170.33818,0.8828562,190.4121,175.78322,0.8213729,216.85811,181.6388,0.85539156
8,77.69844,159.82368,0.6454093,83.36901,160.70052,0.98819274,75.19537,158.33032,0.9742166,108.65449,163.79175,0.9080433,138.53542,165.82138,0.800171,165.52255,170.06172,0.837851,192.34218,175.90369,0.82568175,218.56955,182.00417,0.88839227
9,79.55625,161.67165,0.6367219,85.27798,161.58017,0.94267744,77.02177,159.22777,0.95503926,109.8905,164.30322,0.88190687,140.47298,166.42603,0.7653412,167.44667,169.72552,0.86696,194.20879,175.80772,0.830064,221.15765,181.83586,0.8954636
10,80.47848,162.28464,0.6404628,86.14014,162.55908,0.9414471,77.96544,160.14973,0.9657154,111.733055,164.86531,0.91281664,141.53984,166.01573,0.8018432,169.08044,169.97763,0.85416496,195.53563,175.74455,0.8036465,222.06557,181.54095,0.91803336
11,81.57174,162.76553,0.6701638,88.04423,162.77754,0.9740501,78.74222,160.39365,0.9920752,112.78163,164.73486,0.93629026,142.63608,165.97162,0.8260862,170.69151,169.85075,0.8536529,196.66724,175.4001,0.7969309,223.77046,180.65526,0.9008907
12,124.63288,177.06432,0.8698006,132.08932,174.42123,0.9912499,116.619354,175.59456,1,124.575676,165.32228,0.9240604,125.24614,159.26024,0.55951977,120.23001,155.3876,0.24671589,114.735466,158.63947,0.17713462,127.03955,162.29988,0.3190163
13,123.48344,183.89973,0.88561684,131.15811,181.33524,1,115.31841,182.23157,1,123.3008,174.2637,0.8997111,125.47521,169.54466,0.48663756,117.72789,172.57442,0.18868554,113.5926,167.67647,0.1422345,130.03494,173.63496,0.22689232
14,121.92404,185.07146,0.8734718,129.00856,182.77048,1,113.91754,184.76398,1,121.80442,176.03659,0.8843686,123.83187,171.63142,0.51770407,113.388374,168.91623,0.22011475,109.7949,170.53343,0.14901757,130.74461,174.65623,0.23547283
15,120.08838,186.52774,0.86821514,126.96053,184.00957,1,110.775604,185.95322,1,120.80624,177.33623,0.8932662,125.011795,173.11574,0.55903774,114.09257,169.2276,0.23054025,107.87023,173.91615,0.16099364,133.56044,175.07413,0.3617513
16,117.91454,187.24992,0.9051843,125.41398,185.02066,1,108.341225,186.84311,1,120.18143,178.42545,0.9352605,125.26232,173.13498,0.7119587,129.47218,168.89896,0.3585381,130.65662,171.60825,0.27267638,139.68579,174.01085,0.5573864
17,115.15062,187.41965,0.9193118,124.200096,185.66054,1,107.13876,186.3758,1,118.59417,178.49226,0.9761901,125.51444,172.59177,0.82455957,130.16228,168.76408,0.4849195,133.55475,171.40764,0.4105947,140.96158,172.99942,0.6626157
18,113.88428,187.55191,0.93588465,122.52583,185.69913,1,105.57216,186.08206,1,117.9611,178.24939,1,125.4137,172.11093,0.8883739,130.7889,168.244,0.6435574,135.7986,170.63452,0.5943234,142.69089,172.23251,0.78075445
19,157.75677,193.1519,0.66342974,164.58006,190.14049,0.9634559,151.5563,191.5573,1,143.82178,182.16373,0.8995975,127.25174,176.61386,0.87249976,106.4502,172.80916,0.7653461,88.41026,174.7372,0.74628717,74.18153,177.05434,0.58366084
20,222.71411,204.04501,0.5430085,228.04002,201.36717,0.9103143,216.10686,202.19073,0.9527142,193.77,191.33711,0.79125226,170.4455,182.33957,0.85487276,144.45589,175.44211,0.7268064,115.71888,174.08356,0.68363494,92.3901,169.38336,0.96776325
21,239.09743,208.85956,0.58107954,245.32198,205.6167,0.95856076,234.22469,205.97197,0.98558754,214.05573,197.48262,0.8594699,189.30466,187.78833,0.8973522,167.40794,181.97517,0.8082694,142.00723,175.83553,0.74793094,119.11716,168.86415,0.9289896
22,239.93806,209.45923,0.61253506,246.36653,207.48866,0.9726261,235.1197,207.83165,0.9983453,215.12367,198.94124,0.86552477,190.87428,188.97377,0.9018438,169.4614,182.29501,0.8214242,144.87537,176.22218,0.7518042,123.894585,169.23929,0.99585027
23,239.35068,210.7271,0.60735476,245.82306,208.75684,0.9598308,234.47957,208.88242,0.99890655,214.34215,199.5585,0.85406345,190.82993,189.3086,0.8991191,169.65887,182.49826,0.8123005,145.95657,176.37727,0.75053805,125.143745,169.36223,1
24,240.2631,212.7323,0.60745084,246.35724,209.56041,0.9471403,233.53038,209.66626,1,213.02737,199.7731,0.86443955,190.65956,189.63217,0.9325411,170.5892,182.31607,0.81754076,146.52959,175.93546,0.73952216,125.09693,168.83379,0.98653924
25,239.60995,213.30046,0.61746615,245.69891,210.23676,0.9658403,232.86024,210.26468,1,212.20927,199.85355,0.8787873,190.33888,189.61626,0.93153954,170.58003,182.40253,0.81008863,146.8077,175.59229,0.7377804,125.418755,168.47919,0.95771706
26,239.29291,213.93365,0.6190717,245.21138,210.94402,0.97235864,232.6418,210.84991,1,211.83725,199.94139,0.8722991,190.00188,189.22461,0.9093593,170.15616,181.94759,0.80773455,146.59073,174.51193,0.75457865,124.661285,167.50133,0.94817793
27,213.16734,223.41939,0.7005939,220.93782,221.03209,0.89672816,205.73628,221.26492,0.91993034,208.69264,205.83688,0.8189157,208.75607,192.16454,0.6665793,203.80016,183.95207,0.5833133,207.31236,181.5559,0.67931634,213.47581,180.03609,0.73446906
28,211.86678,224.54648,0.82251745,220.59451,221.58836,0.974747,204.23389,222.24945,1,210.2159,209.9739,0.821283,211.88641,199.39853,0.6380932,206.59325,192.77443,0.48521772,203.5232,192.95937,0.38191572,209.81046,193.61435,0.5881723
29,212.5904,225.20772,0.80462295,220.98163,222.4995,0.9676391,205.19005,223.07687,1,210.17397,210.77065,0.8122959,210.53174,199.24805,0.6583802,205.9429,192.73262,0.5183654,202.7177,193.35968,0.40048265,209.01205,193.21114,0.5974106
30,212.26773,226.3323,0.79468256,220.81479,223.41052,0.95661384,205.02606,224.13512,1,209.74174,211.6127,0.80267537,209.22162,199.57515,0.66649705,205.2121,192.8085,0.5346374,203.52727,192.12245,0.41093472,207.97083,193.95741,0.6110009
31,237.74226,229.07079,0.5022329,242.44072,226.61389,0.8154547,234.59448,228.43954,0.8202937,203.07388,218.28018,0.83816475,181.42085,205.45123,0.83717525,181.6369,200.14616,0.9350797,196.20326,196.96448,0.723422,222.38737,194.62071,0.72144556
32,327.13843,292.506,0.6277117,332.791,289.4581,0.9133157,320.68536,288.73767,0.95123833,298.25345,270.51962,0.8465629,274.83694,251.97067,0.7569337,249.61194,236.2219,0.6823614,218.07413,223.22406,0.6563881,189.937,208.2889,0.9092285
33,382.78564,327.59763,0.5079262,388.55508,324.73572,0.79792696,378.83783,326.06238,0.7977671,351.24454,305.94586,0.7959651,329.35187,288.9472,0.8367656,305.67212,276.8498,0.7214573,271.62436,260.81967,0.5918247,244.32024,244.97807,0.8554727
34,393.30502,335.69763,0.5090686,398.59467,332.63242,0.8544234,388.3945,331.84338,0.86364275,363.91376,313.7925,0.82000923,339.287,295.67422,0.81512266,314.9757,284.285,0.6699356,277.6457,265.2954,0.5881223,251.99443,251.81532,0.85995805
35,396.6171,337.093,0.5530436,401.8214,335.44855,0.8221539,392.06253,334.0263,0.85729265,366.5793,317.0647,0.789511,342.7134,298.20422,0.8134073,317.39374,285.57886,0.68670994,285.27585,269.57538,0.5680736,254.58252,253.19238,0.8838042
36,397.9495,340.4563,0.50315124,403.30914,337.33505,0.76820844,393.78235,335.93552,0.80417824,368.33972,318.31198,0.7809204,344.58606,300.51102,0.8243076,319.05698,285.78445,0.6651044,287.37637,270.4223,0.5711618,255.49632,253.53732,0.83604354
37,419.87274,373.2795,0.50995713,424.5573,370.38092,0.740097,417.48373,368.2426,0.74686414,396.78818,341.45175,0.7374263,380.91376,319.9202,0.8446113,362.21112,301.6841,0.735025,343.18243,282.16324,0.6266533,318.80344,248.01862,0.8753553
38,418.4039,374.08252,0.5096774,423.23044,371.0197,0.7457793,415.90045,369.094,0.73353106,395.80203,342.74036,0.7797797,379.49844,322.75995,0.8534864,360.54285,306.42514,0.70733684,333.57507,275.30823,0.60459524,309.3645,251.3378,0.86106277
39,416.7206,372.91898,0.5409505,421.9905,369.99057,0.796763,414.06616,368.2796,0.7707752,394.99667,342.1427,0.77883005,379.62695,321.49548,0.8749905,360.7715,303.71555,0.7394993,335.50162,275.2316,0.62707996,310.1066,250.86548,0.8760531
40,414.99747,372.41275,0.46230936,419.7182,369.35406,0.70809025,412.9495,367.81525,0.665138,393.70963,340.17563,0.77054155,378.34622,319.13016,0.85710114,360.71335,302.13495,0.74332947,336.1961,273.51086,0.62054545,310.8767,248.01816,0.8479017
41,414.33197,372.44608,0.4558033,419.0289,369.28137,0.7013082,413.00284,367.74115,0.66104096,393.99332,340.35733,0.7399487,379.02127,318.09714,0.8300882,360.6752,299.98956,0.74974823,339.79,272.38486,0.6121253,312.7538,246.43039,0.8309968
